1.0886,-2.3491,-0.8594,1.2032,-0.8021,-0.7448,-19.5952,5.7869,-72.25,0.0573,0.0573,0.0573
0.8594,-2.6929,-0.6303,1.2032,-0.8021,-0.7448,-19.5952,5.7869,-72.25,0.0573,0.0573,0.0573
1.1459,-3.2659,0.2292,0.8594,-1.3751,-0.3438,-9.2819,-44.2323,20.913,-0.8021,-1.3178,-0.8021
2.9221,-1.7189,2.4637,1.547,-1.2605,1.0313,72.7083,14.2094,148.2815,1.0313,-0.9167,1.0313
1.2032,-1.8335,0.2865,1.7189,-1.2032,1.3751,16.2147,4.1826,29.6792,1.3751,-0.8021,1.3751
-0.0573,-2.0626,-2.3491,1.7189,-1.2032,1.3751,16.2147,4.1826,29.6792,1.3751,-0.8021,1.3751
2.1199,-0.6875,-0.6303,0.9167,-1.0886,-1.3178,13.3499,-20.7984,-94.9964,-0.6303,-0.4011,-0.6303
1.6616,-2.1199,-0.573,1.3751,-1.3178,-0.7448,49.2171,-24.6945,59.9887,0.573,-1.0313,0.573
0.974,-1.3751,-0.5157,1.2605,-1.2605,-0.8021,-13.0634,7.6203,-6.7036,0.2292,-0.8021,0.2292
1.0886,-1.4897,2.0626,1.2605,-1.2605,-0.8021,-13.0634,7.6203,-6.7036,0.2292,-0.8021,0.2292
1.8908,-2.521,2.2345,1.3751,-0.7448,1.7762,46.5242,7.5057,148.5107,0.5157,0.3438,0.5157
0.974,-2.0626,-1.1459,1.4324,-1.4897,0.8021,2.9221,-76.318,-98.7206,0.573,-1.4897,0.573
0.1146,-2.2345,-2.2345,0.5157,-1.6043,-1.0313,-90.2409,-7.1047,-191.4825,-1.6616,-1.6616,-1.6616
1.8908,-1.4324,-0.4011,0.5157,-1.6043,-1.0313,-90.2409,-7.1047,-191.4825,-1.6616,-1.6616,-1.6616
2.4064,-1.3751,-0.573,1.7762,-1.0313,-0.6303,93.2775,-14.7823,36.6693,1.6043,-0.1719,1.6043
1.2605,-1.2605,0.2865,1.7762,-1.2032,-0.4011,-3.0367,-17.3606,24.2361,1.4897,-0.6303,1.4897
0.1146,0.4584,0.6303,0.8021,-1.2605,0.3438,-95.111,-8.4225,79.412,-0.9167,-0.8021,-0.9167
1.0886,-2.0054,0.2292,0.8021,-1.2605,0.3438,-95.111,-8.4225,79.412,-0.9167,-0.8021,-0.9167
1.7189,-1.7762,-0.4584,1.0313,-1.2605,0,31.971,-3.0367,-44.5188,-0.2292,-0.7448,-0.2292
1.7762,0.2292,0.6875,1.2605,-0.9167,0.0573,18.9076,32.9451,11.3446,0.1719,0.0573,0.1719
1.547,-0.974,-0.2865,1.6616,-1.0313,0.3438,41.9978,-8.6517,28.0749,1.2032,-0.1146,1.2032
0.974,-1.7189,-2.8075,1.6616,-1.0313,0.3438,41.9978,-8.6517,28.0749,1.2032,-0.1146,1.2032
0.6303,-1.6043,-1.0886,0.8021,-1.4324,-1.7762,-49.1598,-15.0115,-72.7656,-0.9167,-1.0886,-0.9167
1.8908,0.1719,2.1772,1.0886,-1.1459,0,27.8457,29.2781,186.0967,-0.1719,-0.3438,-0.1719
