4346040,0,0,0,-32,53,-9,3133,5639,-1333,3133,5639,-1333,9,-7,1325,2,5,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,-72,124,-41,-36,0,0,-44,58,-71,0,0,0,0,0,0,-44,58,-71
4346140,0,0,0,-32,53,-9,3133,5639,-1333,3133,5639,-1333,9,-7,1325,2,5,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,-72,124,-41,-36,0,0,-42,61,-67,0,0,0,0,0,0,-42,61,-67
4346240,0,0,0,-28,52,-8,3132,5639,-1333,3132,5639,-1333,9,-7,1325,1,4,1292,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-68,128,-45,-39,-19,0,-41,61,-67,0,0,0,0,0,0,-41,61,-67
4346340,0,0,0,-26,52,-8,3131,5639,-1333,3131,5639,-1333,9,-7,1325,1,4,1292,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-65,128,-36,-40,6,0,-44,61,-72,0,0,0,0,0,0,-44,61,-72
4346440,0,0,0,-24,52,-8,3130,5638,-1333,3130,5638,-1333,9,-7,1325,1,4,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-64,127,-35,-29,28,0,-43,59,-76,0,0,0,0,0,0,-43,59,-76
4346539,0,0,0,-24,52,-8,3130,5638,-1333,3130,5638,-1333,9,-7,1325,1,4,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-64,127,-35,-29,28,0,-45,61,-77,0,0,0,0,0,0,-45,61,-77
4346640,0,0,0,-19,51,-8,3129,5638,-1333,3129,5638,-1333,9,-7,1325,0,3,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-60,125,-25,-38,23,0,-46,62,-75,0,0,0,0,0,0,-46,62,-75
4346740,0,0,0,-18,51,-8,3129,5638,-1334,3129,5638,-1334,9,-7,1325,0,2,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-56,125,-18,-59,13,0,-48,70,-73,0,0,0,0,0,0,-48,70,-73
4346840,0,0,0,-15,51,-8,3128,5638,-1334,3128,5638,-1334,9,-7,1325,0,2,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-54,125,-6,-50,9,0,-51,68,-72,0,0,0,0,0,0,-51,68,-72
4346939,0,0,0,-15,51,-8,3128,5638,-1334,3128,5638,-1334,9,-7,1325,0,2,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-54,125,-6,-50,9,0,-53,67,-74,0,0,0,0,0,0,-53,67,-74
4347040,0,0,0,-13,51,-9,3127,5638,-1334,3127,5638,-1334,9,-7,1325,1,1,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-50,125,9,-29,17,0,-57,63,-74,0,0,0,0,0,0,-57,63,-74
4347140,0,0,0,-12,51,-9,3127,5638,-1334,3127,5638,-1334,9,-7,1325,1,1,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-49,125,29,-24,3,0,-63,62,-71,0,0,0,0,0,0,-63,62,-71
4347240,0,0,0,-10,52,-9,3126,5638,-1334,3126,5638,-1334,9,-7,1325,2,1,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,-48,126,45,-16,1,0,-69,60,-71,0,0,0,0,0,0,-69,60,-71
4347340,0,0,0,-10,52,-9,3126,5638,-1334,3126,5638,-1334,9,-7,1325,2,1,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,-48,126,45,-16,1,0,-71,58,-74,0,0,0,0,0,0,-71,58,-74
4347456,0,0,0,-8,54,-9,3121,5637,-1333,3121,5637,-1333,9,-7,1325,3,1,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,-47,124,43,0,30,0,-71,55,-76,0,0,0,0,0,0,-71,55,-76
4347540,0,0,0,-8,55,-9,3118,5636,-1332,3118,5636,-1332,9,-7,1325,3,1,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,-48,124,43,10,23,0,-71,51,-75,0,0,0,0,0,0,-71,51,-75
4347640,0,0,0,-7,54,-8,3117,5636,-1332,3117,5636,-1332,9,-7,1325,4,1,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-49,124,45,15,11,0,-73,49,-72,0,0,0,0,0,0,-73,49,-72
4347740,0,0,0,-7,54,-8,3117,5636,-1332,3117,5636,-1332,9,-7,1325,4,1,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-49,124,45,15,11,0,-73,48,-73,0,0,0,0,0,0,-73,48,-73
4347840,0,0,0,-3,53,-7,3116,5636,-1332,3116,5636,-1332,9,-7,1325,5,1,1293,1648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-51,123,21,19,31,0,-67,47,-76,0,0,0,0,0,0,-67,47,-76
