63282666,0,0,0,-34,-1,56,-16,-25,622,0,0,0,0,0,0,0,0,0,63274024,-205,-50,63282483,1860000,-1552000,2042000,63281948,-457,251,-9697,-11,1,10,0,0,0,0
63302584,-1,0,3,-41,-3,55,-17,-25,622,0,0,0,0,0,0,0,0,0,63274024,-205,-50,63302419,1856000,-1549000,2024000,63301944,-467,215,-9739,-12,0,12,0,0,0,0
63322679,-3,0,5,-48,-6,54,-17,-25,623,0,0,0,0,0,0,0,0,0,63306023,-158,-39,63322508,1857000,-1516000,2044000,63321948,-472,183,-9782,-13,1,10,0,0,0,0
63342575,-5,0,7,-54,-8,52,-18,-25,623,0,0,0,0,0,0,0,0,0,63332713,-190,-65,63332477,1857000,-1516000,2044000,63341944,-473,154,-9824,-12,2,13,0,0,0,0
63364264,-5,0,0,-39,-15,49,-18,-25,624,0,0,0,0,0,0,0,0,0,63332713,-190,-65,63364100,1850000,-1566000,2038000,63363973,-431,244,-9764,-13,0,9,0,0,0,0
63382583,-5,-1,-2,-33,-20,46,-19,-25,624,0,0,0,0,0,0,0,0,0,63364712,-279,-93,63382418,1841000,-1568000,2034000,63381944,-454,127,-9909,-12,1,13,0,0,0,0
63402709,-6,-1,-1,-38,-23,45,-20,-25,624,0,0,0,0,0,0,0,0,0,63394024,-205,-58,63402476,1844000,-1573000,2032000,63401948,-446,115,-9943,-12,0,12,0,0,0,0
63422576,-7,-2,0,-43,-27,44,-20,-25,625,0,0,0,0,0,0,0,0,0,63394024,-205,-58,63412478,1844000,-1573000,2032000,63421944,-430,106,-9961,-13,0,12,0,0,0,0
63442633,-8,-3,2,-49,-30,42,-21,-25,625,0,0,0,0,0,0,0,0,0,63426023,-232,-71,63442469,1847000,-1570000,2033000,63441948,-406,131,-9967,-14,0,12,0,0,0,0
63464217,-8,-3,0,-42,-23,1,-21,-26,626,0,0,0,0,0,0,0,0,0,63458023,-248,-72,63464052,1855000,-1554000,2041000,63463952,-430,193,-9850,-11,0,10,0,0,0,0
63482633,-9,-3,-1,-40,-21,-22,-22,-27,626,0,0,0,0,0,0,0,0,0,63458023,-248,-72,63482469,1817000,-1568000,2034000,63481948,-381,179,-9928,-13,-1,12,0,0,0,0
63502556,-10,-4,-2,-43,-23,-27,-22,-28,627,0,0,0,0,0,0,0,0,0,63492712,-221,-47,63502386,1855000,-1502000,2028000,63501944,-373,213,-9893,-13,0,10,0,0,0,0
63522643,-11,-4,-3,-48,-26,-29,-23,-28,627,0,0,0,0,0,0,0,0,0,63522711,-221,-28,63512472,1855000,-1502000,2028000,63521948,-362,247,-9859,-13,-1,12,0,0,0,0
63542575,-12,-5,-5,-52,-28,-30,-24,-28,627,0,0,0,0,0,0,0,0,0,63522711,-221,-28,63532477,1845000,-1501000,2036000,63541944,-366,282,-9828,-11,-1,10,0,0,0,0
63562740,-12,-6,-7,-53,-30,-31,-24,-28,628,0,0,0,0,0,0,0,0,0,63554023,-158,26,63562501,1820000,-1507000,2041000,63561948,-370,288,-9783,-10,0,10,0,0,0,0
63582616,-12,-6,-9,-51,-28,-35,-24,-29,628,0,0,0,0,0,0,0,0,0,63554023,-158,26,63582434,1841000,-1557000,2035000,63581944,-375,312,-9749,-14,-1,10,0,0,0,0
63602634,-13,-6,-11,-51,-28,-37,-24,-29,628,0,0,0,0,0,0,0,0,0,63586023,-205,18,63602469,1844000,-1576000,2022000,63601948,-380,333,-9706,-12,-2,10,0,0,0,0
63622584,-13,-7,-13,-51,-30,-37,-24,-30,629,0,0,0,0,0,0,0,0,0,63613036,-174,54,63622419,1844000,-1576000,2022000,63621944,-390,340,-9682,-11,-1,9,0,0,0,0
63642634,-13,-7,-16,-52,-32,-38,-25,-30,629,0,0,0,0,0,0,0,0,0,63613036,-174,54,63642469,1853000,-1503000,2043000,63641948,-400,342,-9660,-12,0,8,0,0,0,0
63664216,-13,-7,-13,-48,-31,-21,-25,-30,629,0,0,0,0,0,0,0,0,0,63642711,-174,54,63664051,1859000,-1543000,2037000,63663952,-397,253,-9823,-13,0,11,0,0,0,0
63682634,-14,-8,-12,-46,-32,-13,-25,-31,629,0,0,0,0,0,0,0,0,0,63674023,-205,83,63682470,1859000,-1557000,2027000,63681948,-416,320,-9665,-11,1,6,0,0,0,0
