1,1,1e-3,1,1,1e-2,1e-2
210784848,-2707,6711,-4697,-392,2569,-453,-67,-54,1966,210746036,-3433,7168,-5599,-520,2387,-401,1130,120,210764204,3559,169,210784635,-1321000,-2423000,1924000,210784412,-689,181,-9827,-67,88,23,-8,-14,734,678,-3260,8415,-3752,-573,3194,-433,-102,-59,2511
210814771,-2711,6780,-4703,-373,2565,-451,-70,-53,1964,210746036,-3433,7168,-5599,-520,2387,-401,1130,120,210797206,3628,238,210814576,-1222000,-2594000,1955000,210814411,-770,229,-9825,-119,12,-79,-8,-14,734,678,-3277,8511,-3765,-555,3214,-431,-104,-57,2510
210844825,-2720,6854,-4715,-358,2565,-451,-72,-53,1959,210746036,-3433,7168,-5599,-520,2387,-401,1130,120,210824204,3569,281,210844629,-1307000,-2543000,1905000,210844418,-752,265,-9862,-96,5,-129,-8,-14,734,678,-3294,8609,-3778,-539,3233,-431,-107,-58,2507
210874818,-2730,6930,-4728,-345,2565,-453,-74,-53,1955,210846034,-3433,7373,-5639,-383,2371,-466,1130,130,210854205,3580,270,210874622,-1501000,-2475000,1942000,210874411,-587,284,-9883,-46,-19,-169,-8,-14,734,678,-3317,8718,-3787,-522,3256,-432,-109,-58,2502
210906270,-2732,6997,-4737,-328,2557,-455,-74,-53,1950,210846034,-3433,7373,-5639,-383,2371,-466,1130,130,210884205,3628,307,210894582,-1166000,-2713000,1948000,210905421,-782,343,-9886,-1,56,-57,-8,-14,734,678,-3332,8817,-3799,-506,3272,-434,-109,-58,2498
210934763,-2735,7067,-4747,-310,2551,-456,-74,-51,1946,210846034,-3433,7373,-5639,-383,2371,-466,1130,130,210914205,3596,260,210924630,-1148000,-2648000,1939000,210934411,-768,342,-9828,1,64,-54,-8,-14,734,678,-3347,8916,-3812,-487,3288,-435,-109,-57,2496
210964825,-2743,7142,-4761,-294,2549,-457,-73,-49,1943,210946033,-3543,7578,-5660,-396,2298,-292,1130,130,210944204,3596,248,210964630,-1311000,-2441000,1901000,210964418,-901,212,-9844,-11,78,-43,-8,-14,734,678,-3369,9026,-3822,-468,3311,-434,-109,-55,2493
210994818,-2751,7217,-4774,-278,2548,-458,-74,-46,1943,210946033,-3543,7578,-5660,-396,2298,-292,1130,130,210974205,3569,170,210994622,-1158000,-2591000,1963000,210994411,-585,143,-9796,-75,87,62,-8,-14,734,678,-3384,9128,-3834,-448,3330,-434,-110,-52,2493
211026278,-2747,7276,-4783,-255,2535,-457,-76,-44,1943,210946033,-3543,7578,-5660,-396,2298,-292,1130,130,211004204,3580,136,211025995,-1222000,-2563000,1937000,211025421,-619,308,-9912,-75,82,92,-8,-14,734,678,-3397,9229,-3847,-429,3349,-433,-112,-50,2494
211056196,-2746,7340,-4793,-234,2526,-458,-78,-40,1945,211046029,-3543,7782,-5690,-318,2228,-280,1130,130,211044204,3596,119,211044724,-1339000,-2552000,1956000,211055438,-744,299,-9801,-93,99,159,-8,-14,734,678,-3414,9342,-3856,-409,3374,-432,-114,-47,2497
211084816,-2752,7414,-4806,-218,2523,-458,-80,-38,1948,211046029,-3543,7782,-5690,-318,2228,-280,1130,130,211074205,3612,119,211074711,-1292000,-2569000,1896000,211084418,-756,323,-9892,-57,69,117,-8,-14,734,678,-3429,9453,-3867,-390,3395,-432,-117,-44,2501
211114817,-2758,7488,-4820,-202,2518,-462,-81,-35,1950,211046029,-3543,7782,-5690,-318,2228,-280,1130,130,211104205,3643,148,211114622,-1288000,-2567000,1937000,211114411,-722,313,-9930,-49,62,92,-8,-14,734,678,-3441,9556,-3879,-368,3411,-434,-118,-42,2504
211146271,-2763,7563,-4834,-185,2514,-466,-82,-32,1952,211136025,-3543,8090,-5730,-284,2334,-253,1130,120,211134205,3628,145,211145994,-1386000,-2546000,1945000,211145413,-633,350,-9898,-20,95,97,-8,-14,734,678,-3455,9672,-3889,-346,3433,-437,-119,-39,2506
211174771,-2768,7637,-4848,-168,2510,-468,-83,-31,1953,211136025,-3543,8090,-5730,-284,2334,-253,1130,120,211164204,3628,134,211174575,-1311000,-2665000,1916000,211174411,-612,370,-9890,-24,14,-30,-8,-14,734,678,-3467,9783,-3899,-324,3454,-438,-120,-37,2506
211206257,-2767,7701,-4855,-148,2498,-470,-83,-30,1949,211136025,-3543,8090,-5730,-284,2334,-253,1130,120,211194205,3612,91,211194718,-1258000,-2646000,1921000,211205421,-744,337,-9884,16,32,-142,-8,-14,734,678,-3477,9889,-3912,-302,3470,-440,-120,-37,2503
211235066,-2767,7769,-4865,-130,2488,-471,-82,-30,1943,211136025,-3543,8090,-5730,-284,2334,-253,1130,120,211224205,3643,109,211224717,-1430000,-2539000,1899000,211234411,-680,307,-9851,12,-28,-173,-8,-14,734,678,-3485,9994,-3925,-281,3486,-441,-119,-37,2498
211264771,-2770,7842,-4879,-116,2482,-474,-80,-30,1936,211246024,-3543,8294,-5750,-324,2261,-294,1130,120,211254205,3643,101,211255960,-1346000,-2545000,1900000,211264411,-559,381,-9842,57,14,-174,-8,-14,734,678,-3497,10119,-3932,-260,3510,-442,-118,-38,2492
